Clothing ID,Age,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Review Text,Review Length,Rating Segment,Contradiction Type,Is Contradiction,GMM Cluster,Cluster Confidence,Cluster Uncertainty,Segment Name,Age Group,GMM Log Density,Density Anomaly,Low Confidence Anomaly,Age_Extreme,Positive_Feedback_Count_Extreme,Review_Length_Extreme,Extreme Feature Count,Density Rarity Score,Anomaly Score,Final Anomaly,Anomaly Type
1077,53,5,0,8,General,Dresses,Dresses,"This dress is absolutely lovely. i couldn't leave the store without it, even though it was full price and i have a million dresses. it's just that great. i am 5' 8"" 130 lbs and bought the small",38,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-6.7570750435456794,1,0,0,1,0,1,0.996764029634676,0.7317153481506714,1,Low GMM Density | Rating-Recommendation Contradiction
1008,34,2,1,13,General Petite,Bottoms,Skirts,"The reason for the title above is this skirt doesn't wow me. i felt like i could find this anywhere, and i don't go to retailer for such things. they have definitely mainstreamed more and more over the years....
__________
pros:
- tts. i tried on a large (and i'm normally either a 10 or 12) and it fit well and hung well on my hourglass and wider hips without billowing out.
- flows nicely! it does have a great movement to it.
- a good everyday skirt.
- not sheer at all. it is lined.
- when y",99,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,30-39,-6.309455705701586,1,0,0,1,0,1,0.995869879928468,0.7312682732975674,1,Low GMM Density | Rating-Recommendation Contradiction
1079,57,4,0,21,General Petite,Dresses,Dresses,A beautiful silk dress - light and cute but not worth the price. this dress is extremely thin and no lined at all. it's very light and i'm afraid would be completely see through.,34,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-5.95766916352305,1,0,0,1,0,1,0.9950183087796985,0.7308424877231826,1,Low GMM Density | Rating-Recommendation Contradiction
1104,59,2,1,10,General Petite,Dresses,Dresses,"Very disappointed that i ordered this dress and a large was too big. returned and asked for an exchange to a size medium, it was apparently not available in the medium, i was charged a 5.95 fee for return shopping. so i immediately went to website, medium available and i had to pay another 12.95 for shipping. seems a bit unreasonable, but really liked the dress.",66,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,50-59,-5.400560889051034,1,0,0,1,0,1,0.9933151664821596,0.7299909165744131,1,Low GMM Density | Rating-Recommendation Contradiction
1072,41,2,1,10,General,Dresses,Dresses,"I'm not really sure what the designer was trying to accomplish with this dress. the fabrics and details are pretty but the shape is really strange. for one thing, the dress has a very straight cut so there is not a lot of room for movement and the thin belt makes the shape even worse. i felt like i was wearing a really fancy garbage bag. also, the way the bottom flares out is just strange considering the cut and length. i really wanted to like this dress but unfortunately it was a complete miss",95,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,40-49,-5.362705683470278,1,0,0,1,0,1,0.9931022736949672,0.7298844701808169,1,Low GMM Density | Rating-Recommendation Contradiction
1020,57,2,1,8,General Petite,Bottoms,Skirts,"1. i'm 5'6"" tall with a short waist and long legs, and this skirt came all the way down to my ankles. i would have kept it if it had stopped mid-calf like in the photo.

2. i'm 38-32-40 and the size 12 fit me perfectly in the waist hip area, so i would say it runs true to size.

3. the buttons lay nice and flat over the tummy, so that's a plus. at least you don't have to undo them to go to the bathroom.",87,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,50-59,-5.2296192885685056,1,0,0,1,0,1,0.9925061738908286,0.7295864202787476,1,Low GMM Density | Rating-Recommendation Contradiction
836,35,2,1,8,General,Tops,Blouses,"I really like the look of the top when it is photographed on other people but it just isn't for me. the fabric is stiffer than i would have expected and not very moveable. the fit is not quite right on me. the longer sleeves detract from the look of the shirt. i also generally prefer things a little more form fitting of which this is not. it was not very comfortable for me either, so this was clearly not a win for me.",84,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,30-39,-5.223075328107303,1,0,0,1,0,1,0.9924635953333901,0.7295651310000284,1,Low GMM Density | Rating-Recommendation Contradiction
1052,33,2,1,8,General Petite,Bottoms,Pants,I was so excited to get these. i paid for two day shipping and ordered medium and large . sadly they did not fit. i usually wear medium but ordered both just in case. i'm very disappointed that they run so small and are not true to size. they are super cute from someone skinny.,55,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,30-39,-5.130193246159319,1,0,0,1,0,1,0.9920803883164439,0.7293735274915553,1,Low GMM Density | Rating-Recommendation Contradiction
872,34,2,1,8,General Petite,Tops,Knits,"I love the shirt and it runs true to size everywhere but the arm holes. i bought a size small and the length was great, the fit was great, but the arm holes were gappy and big. i had to return it and was bummed because i loved it otherwise.",50,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,30-39,-5.081732649622813,1,0,0,1,0,1,0.99191007408669,0.7292883703766783,1,Low GMM Density | Rating-Recommendation Contradiction
836,38,2,1,8,General,Tops,Blouses,"I splurged on this top and was sadly disappointed. i'm a 36d, and the l was so tight i couldn't get it over my chest. also the arms were super tight and the length is nearly cropped.  and the fabric is shiny, the picture makes it look like it's matte. if it did fit like the model i would've loved it. the print is beautiful though. bummer",67,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,30-39,-4.796168053639905,1,0,0,1,0,1,0.9905049816912203,0.7285858241789435,1,Low GMM Density | Rating-Recommendation Contradiction
1078,57,4,0,19,General,Dresses,Dresses,"I was hoping this dress was a bit thicker, but when i tried it on the fabric was very thin and sheer. because of the body skimming design, this dress likely won't work on many without some serious spanx or body trimming hosiery. if you work out and are very fit, you might like it, but i don't so i'm not that brave! lol",64,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-4.624239295290227,0,0,0,1,0,1,0.9891424678531892,0.7279045672599279,1,Rating-Recommendation Contradiction
1110,56,4,0,17,General Petite,Dresses,Dresses,"Everything about this dress is beautiful except for the hemline. the color is beautiful; the old-fashioned, wispy femininity is beautiful. the dress probably could use something better at the waistline besides elastic, maybe ribbons to tie, but the hemline is what kills it. it is half a normal-length dress (in the front) and half maxi dress (in the back). the designer should have chosen one or the other, not both, and it would have been much better. for the category of aesthetic/design, i would",84,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-4.310632152802636,0,0,0,1,0,1,0.9873541684407732,0.7270104175537199,1,Rating-Recommendation Contradiction
819,53,4,0,18,General,Tops,Blouses,"This was a bit of a disappointment. the colors are beautiful, but the shape was not flattering on my petite frame. it is somewhat wide and boxy in the shoulders and body. the fabric is stiffer that i expected, and therefore it doesn't drape nicely on the shoulders and through the torso. if you look closely at the model, you can see what i am talking about at the shoulder. the shoulders stick out a tad, and the gathering at the neck contributes to the larger, boxy look. this might look nice on th",94,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-4.270795277848084,0,0,0,1,0,1,0.9870561185387039,0.7268613926026853,1,Rating-Recommendation Contradiction
1059,23,4,0,9,General,Bottoms,Pants,"I did purchase the pants but ultimately ended up returning because everything such as the print and the length it hits at your ankles is great but there was, at least for me, a lot of extra fabric in the crotch area (and this is not to be crude, there really isn't another word that i can use) and when you sat down, it is extremely apparent. i am 5""6' and run between a size 8 and 10 and 10 fit me, but again, i just think if there was less fabric in the saddle, it wouldn't ride up and look more fl",103,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,18-29,-4.202370935067066,0,0,0,1,0,1,0.9863322830622498,0.7264994748644583,1,Rating-Recommendation Contradiction
912,56,4,0,12,General,Tops,Fine gauge,"I was so disappointed in this top. the fabric blend was too thick for summer. the cut was wide across the shoulders, and very narrow and short through the waist. add in the odd splashes in the print, and it spelled disaster.

size: i tend to run between small and xs. i ordered xs. i'm 5'5"" tall, 135 lbs, 34d, 35-29-37, narrow across shoulders, with short arms and long torso.

fit: the cut was so wide across my narrow shoulders that it looked baggy and felt odd. however, the sleeves didn't sl",92,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-3.781763347624164,0,0,0,1,0,1,0.9821595844332794,0.7244131255499731,1,Rating-Recommendation Contradiction
877,59,4,0,8,General Petite,Tops,Knits,I couldn't tell on line this top has gold metallic thread running throughout. i find metallic thread to be itchy. when i first put it on i thought it might be o.k. i can tolerate a fair amount of itch in fabric. after about 5 minutes i suddently couldn't wait to get it off. seemed like the longer it was next to my skin the more irritating it became. it is also a bit thinner fabric than i expected. i was hoping to use it as a layering piece. it would work well for layering if it was comfortable.,99,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-3.7443935952093756,0,0,0,1,0,1,0.9818189559737716,0.7242428113202192,1,Rating-Recommendation Contradiction
927,33,4,0,14,General,Tops,Sweaters,"I have a little white dog who i'm convinced sheds hair just as fast as he can grow them. i'm constantly finding white hairs on all of my clothes and have to actively work to keep my pup from lovingly brushing his sweet little head against my favorite black leggings. this sweater is exactly like my puppy. shedding for days and long after the seasons have changed it's gorgeous and the fit is lovely, but unless you're prepared to carry a lint roller with you, i would pass this by. it's very soft an",94,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,30-39,-3.7088772976825126,0,0,0,1,0,1,0.9816060631865793,0.7241363649266229,1,Rating-Recommendation Contradiction
839,52,4,0,13,General,Tops,Blouses,"Beautiful in white, and beautiful to look at, but as the other reviewer mentioned, the fabric is very sheer and see thru. not a deal breaker if worn over a cami; however, the reason i am returning it is the fit. there is too much fabric flaring right at my waist. it looks like a tent on me. in addition, some of the beading is already coming off, and i can't imagine what it will look like after one wash. that's too bad, but i can't justify paying this much money for a sweet top that is beautiful",98,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-3.6493262854330606,0,0,0,1,0,1,0.9809673848250021,0.7238170257458344,1,Rating-Recommendation Contradiction
1094,41,4,0,15,General,Dresses,Dresses,"I love simple pull-on jersey dresses and so i had to try this one. unfortunately, it did not work out. fit is tts, i liked the fabric which is soft, silky yet with some weight to it, and i appreciated the thoughtful construction with multiple well placed darts in the chest. the skirt is lovely, swingy but not too full, hangs well. what stopped me from purchasing it is the fit in the shoulders, it was too broad for me and gave the dress an overall awkward shape. the neckline was also a little too",95,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,40-49,-3.5350338010709077,0,0,0,1,0,1,0.9799029208890403,0.7232847937778535,1,Rating-Recommendation Contradiction
1038,55,4,0,10,General Petite,Bottoms,Jeans,"I am a pilcro hyphen fan and have bought nearly every embellished jean they've made in the last few years. these, however, are just not for me. i love the faded wash, and i thought the embellishment would be fun for the fall and holidays. however, there's just so much of it! it's beautifully done, but the jeans actually feel bulky and stiff in the pocket and upper thigh area. i've had other ""beaded"" jeans, but they didn't feel quite so ""crunchy"" when i wore them. one other note: these seem to ru",93,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,50-59,-3.458238261370701,0,0,0,1,0,1,0.9790513497402707,0.7228590082034687,1,Rating-Recommendation Contradiction
862,28,4,0,9,General,Tops,Knits,"I like this top. i received a ton of compliments when i wore it to work, but the material doesn't feel as high-quality as i had expected from the pictures online. it wasn't worth it to me to send it back, but i doubt i would have bought it if i had tried it on first.",56,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,18-29,-3.44359246435163,0,0,0,1,0,1,0.9789661926253939,0.7228164296460303,1,Rating-Recommendation Contradiction
940,35,4,0,13,General,Tops,Sweaters,"This is a lovely cardigan--especially over dresses with leggings, over-the-knee socks, and boots. i was so ecstatic to get it at the black friday price. the description says its white but it's more like a cream. it was for this reason that i initially reconsidered the purchase. i was hoping for more of an off-white or winter white as it appears on the model. except, it looked so great over dresses and suitable for the southern california winter. i didn't care for the wrap belt. it just looked li",89,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,30-39,-3.4101234347849925,0,0,0,1,0,1,0.9782849357063783,0.7224758011865225,1,Rating-Recommendation Contradiction
864,37,4,0,13,General,Tops,Knits,"This top is beautiful and i have received so many compliments on it. the fit is very complimenting, and i would continue to wear it often except that the fabric is unraveling. the bottom of the lace has raw edges so i would expect some fraying there but my top is shedding long streaks of material with each wear throughout the entire top, 1-5"" strands of the lace unraveling isn't exactly a great look.",74,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,30-39,-3.2305303111799404,0,0,0,1,0,1,0.975389593800562,0.7210281302336143,1,Rating-Recommendation Contradiction
1072,46,4,0,12,General Petite,Dresses,Dresses,"This dress is really pretty, but the fit is off. it is not fitted at the waist which made the back look poofy. also, the arm length is not flattering; it needs to be either longer or shorter. additionally, if one was to wear it a lot, the felting might start to fray.",53,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,40-49,-3.1821126219647367,0,0,0,1,0,1,0.9748786511113003,0.7207726588889835,1,Rating-Recommendation Contradiction
1072,47,4,0,9,General,Dresses,Dresses,This is an adorable dress that just didn't work for me! so sad! i wanted to love it because the pattern is super cute. i gave it 4 stars because it is very pretty and i can see it working on others!,42,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,40-49,-3.128398140887647,0,0,0,1,0,1,0.973856765732777,0.7202617161997219,1,Rating-Recommendation Contradiction
1100,38,4,0,9,General,Dresses,Dresses,"This dress is beautiful, but not made for someone with a 36d. i ordered a 12 and i could get my chest in this dress. i really wish it fit. it's well made and very beautiful. belt does not come with the dress.",43,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,30-39,-3.114939385180991,0,0,0,1,0,1,0.9736012943881461,0.7201339805274064,1,Rating-Recommendation Contradiction
865,36,4,0,10,General,Tops,Knits,"First, the product arrived in a very small bag that made for many, many wrinkles - almost impossible to determine what it might look like. shame on retailer for sending their items in this manner. secondly, i don't know how individuals wear this with a bra. the back is cut so low that my bra back band partially showed - not my idea of a good look. third, the front necessitated a cami, and there is no way a cami can be worn due to how it is cut in the back. returning now, and i just received it.",99,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,30-39,-3.095754500438334,0,0,0,1,0,1,0.9731755088137614,0.719921087740214,1,Rating-Recommendation Contradiction
864,37,4,0,10,General,Tops,Knits,"This was a near miss for me. i love the concept of the asymmetrical shoulder cutouts and the contrast of the beadwork to the simple gray crewneck, however, with some of the beads bulging out about 1/4 inch from the shirt, i have to say it almost bordered on gawdy christmas sweater status... but still cool. i actually thought this piece felt fairly sturdy and well-made, but the thing that got me and led me to return it was that even in an xs it was indeed cut wide. if it were a little shorter it",96,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,30-39,-3.0150851685729805,0,0,0,1,0,1,0.9721962019926765,0.7194314343296716,1,Rating-Recommendation Contradiction
1074,33,4,0,8,General,Dresses,Dresses,"I had sized down because i'm usually a petite, but didn't have the option for petite here, and it was still too big. a petite or an additional size down could have helped the fit, but in the end the style wasn't what i was going for. the dress has a little more texture going on than what is revealed in the photo here on the site -- i thought it was a luxurious brocade fabric, but the shininess actually comes from silky threads on a mesh-ish overlay. it's a lovely, quality dress, and the color is",97,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,30-39,-2.9908320179002166,0,0,0,1,0,1,0.9716426807459764,0.7191546737063216,1,Rating-Recommendation Contradiction
1060,48,4,0,10,General Petite,Bottoms,Pants,"I really wanted this. they had two size small in my local retailer, both were damaged. so disappointing. i don't want to pay shipping for one that hopefully isn't damaged:( in the last year i've had multiple quality control issues with retailer. makes me gun shy. not sure i'm getting what i pay for anymore.",55,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,40-49,-2.923206278304802,0,0,0,1,0,1,0.970450481137699,0.7185585739021828,1,Rating-Recommendation Contradiction
904,37,4,0,10,General Petite,Tops,Fine gauge,"I purchased this top in the xs and was so excited to receive it as i love the layered look snd the back of the sweater was so cute online! the sweater itself is lovely, but it was a tent on me! waaaaay too big for my 5'3"" frame. if you're a taller gal or someone who likes more volume in their swing tops, this is for you. unfortunately, i had to return it.",74,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,30-39,-2.8289517304075495,0,0,0,1,0,1,0.9687899173975986,0.7177282920321326,1,Rating-Recommendation Contradiction
828,41,4,0,9,General,Tops,Blouses,"Loved everything about this top except two things: the price (there is a lot of pretty detail though) and the shoulders. what is not depicted in the stock photos is how wide the shoulder ruffles are...i have an athletic build at 5'7"", 140 lbs and 32dd and this top unfortunately made me look like a football player. i ordered a small and the fit was perfect. beware that this top is on the shorter side. it really is very pretty but i would steer away if you have athletic or broad shoulders.",92,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,40-49,-2.7496287441387572,0,0,0,1,0,1,0.9667887251979903,0.7167276959323284,1,Rating-Recommendation Contradiction
1081,68,1,1,1,General Petite,Dresses,Dresses,"This is an extremely flattering dress. i couldn't resist buying it, even though i didn't come into the store looking for a dressier dress, which i feel this is. once i tried it on, i had to purchase it. its one of those things that i know i won't regret because at some point, an occasion will show up that i'll wear it to. its soft, comfy and flowing and accentuates the body's curves without being too tight or clingy. its a classic!",83,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,60-69,-19.79122154332051,1,0,0,0,0,0,1.0,0.7,1,Low GMM Density | Rating-Recommendation Contradiction
830,64,1,1,0,General,Tops,Blouses,,0,Negative,Low Rating - Recommended,1,4,0.9999858538357593,1.4146164240669279e-05,Highly Satisfied Recommenders,60-69,-19.47443766964252,1,0,0,0,0,0,0.9999574214425615,0.6999815399541289,1,Low GMM Density | Rating-Recommendation Contradiction
984,57,1,1,2,General,Jackets,Jackets,Love the jacket! so versatile! would probably order up a size if you like a loose fit.,17,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,50-59,-19.2287221270093,1,0,0,0,0,0,0.9998722643276846,0.6999361321638423,1,Low GMM Density | Rating-Recommendation Contradiction
1084,58,1,1,5,General Petite,Dresses,Dresses,"I loved the dress, but just not dressy enough after rethinking what i needed. very easy order and return. thanks!",20,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,50-59,-18.903011510425625,1,0,0,0,0,0,0.9998296857702461,0.6999148428851231,1,Low GMM Density | Rating-Recommendation Contradiction
455,34,1,1,7,Initmates,Intimate,Lounge,Just wanted to review so people know this hoodie has a zipper. it's very soft and comfy but i was looking for a pullover hoodie and am disappointed that once again retailer's picture doesn't match the actual product. it does fit true to size however.,45,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,30-39,-17.998816073480533,1,0,0,0,0,0,0.9997871072128076,0.6998935536064038,1,Low GMM Density | Rating-Recommendation Contradiction
956,43,1,1,1,General Petite,Jackets,Jackets,"This is so close to perfect, but there's a seam down the middle of the back and they didn't bother to match the polka dots. you can see the mismatch in the second photo. i was about to buy the jacket, and totally in love, when i turned and saw the error. i hoped it was one bad match, but nope, on every one. couldn't unsee, didn't buy. very disappointed.",70,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,40-49,-17.99296114876103,1,0,0,0,0,0,0.9997445286553691,0.6998722643276846,1,Low GMM Density | Rating-Recommendation Contradiction
829,51,1,1,1,General Petite,Tops,Blouses,"Very cute top. i went down a size because for me it was a little large in the back, but that was just my taste. i purchased the denim print.",30,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,50-59,-17.82020162085475,1,0,0,0,0,0,0.9997019500979307,0.6998509750489654,1,Low GMM Density | Rating-Recommendation Contradiction
1104,55,1,1,3,General,Dresses,Dresses,"This is a cute dress, but not for me. 1. i think it runs very small, 2. it is super textured so if you don't want to add bulk (aka pounds) to your frame, this probably isn't for you. it's too bad it's online only because i would have benefitted from trying this on first. i'm sure it's probably adorable on smaller, thinner people. unfortunately, mine is going back.",69,Negative,Low Rating - Recommended,1,7,1.0,0.0,Critical but Recommending,50-59,-17.4523606634684,1,0,0,0,0,0,0.9996593715404922,0.6998296857702462,1,Low GMM Density | Rating-Recommendation Contradiction
867,53,5,0,0,General,Tops,Knits,,0,Positive,High Rating - Not Recommended,1,4,0.9999991511396736,8.488603263634431e-07,Highly Satisfied Recommenders,50-59,-11.959896463400288,1,0,0,0,0,0,0.9994890573107383,0.6997446984274345,1,Low GMM Density | Rating-Recommendation Contradiction
1099,47,5,0,0,General Petite,Dresses,Dresses,,0,Positive,High Rating - Not Recommended,1,4,0.9999990117475173,9.882524827364847e-07,Highly Satisfied Recommenders,40-49,-11.675553196484977,1,0,0,0,0,0,0.9994464787532998,0.6997234370271465,1,Low GMM Density | Rating-Recommendation Contradiction
829,53,1,1,0,General,Tops,Blouses,Love the movement of the blouse and how it falls. great quality material.,13,Negative,Low Rating - Recommended,1,1,0.9999797476832152,2.025231678481898e-05,Highly Satisfied Recommenders,50-59,-10.67866707226301,1,0,0,0,0,0,0.9993187430809845,0.6996634220038491,1,Low GMM Density | Rating-Recommendation Contradiction
861,69,1,1,0,General,Tops,Knits,"I love this t-shirt because it has the combination of elegance and relazation to a ""t"".
it's soft, pretty and covers my wide bottom well.",25,Negative,Low Rating - Recommended,1,1,0.9999715917653224,2.840823467764597e-05,Highly Satisfied Recommenders,60-69,-10.657302983783215,1,0,0,0,0,0,0.999276164523546,0.6996437639087085,1,Low GMM Density | Rating-Recommendation Contradiction
939,39,1,1,0,General,Tops,Sweaters,Beautiful jacket and i got lots of compliments. true to size. it's not thick but it's very warm.,18,Negative,Low Rating - Recommended,1,1,0.9999831000326237,1.6899967376304836e-05,Highly Satisfied Recommenders,30-39,-9.340053189351705,1,0,0,0,0,0,0.9989355360640382,0.6994711480254944,1,Low GMM Density | Rating-Recommendation Contradiction
850,54,1,1,0,General,Tops,Blouses,Love this top! but unfortunately i returned it for exchange coz it was too small for me. hoping there's a sz sm in stock.,24,Negative,Low Rating - Recommended,1,1,0.9999790306337003,2.0969366299694592e-05,Highly Satisfied Recommenders,50-59,-8.862365639572504,1,0,0,0,0,0,0.9985949076045304,0.6993016476755252,1,Low GMM Density | Rating-Recommendation Contradiction
1118,63,5,0,1,General,Jackets,Outerwear,This jacket is high quality leather and will bring you years of wear! i made sure to add a little room to accommodate thick sweaters!,25,Positive,High Rating - Not Recommended,1,6,1.0,0.0,Dissatisfied Non-Recommenders,60-69,-8.823496054427462,1,0,0,0,0,0,0.9984671719322149,0.6992335859661074,1,Low GMM Density | Rating-Recommendation Contradiction
