Division Name,Department Name,Class Name,Rating,Recommended IND,Clothing ID
General,Bottoms,Jeans,5,1,1024
General Petite,Jackets,Jackets,3,1,984
General Petite,Jackets,Jackets,5,1,984
General,Dresses,Dresses,5,1,1104
General,Bottoms,Jeans,5,1,1024
General Petite,Jackets,Jackets,5,1,984
General,Dresses,Dresses,5,1,1104
General Petite,Jackets,Jackets,5,1,984
General,Dresses,Dresses,4,1,1104
General Petite,Jackets,Jackets,5,1,984
General,Tops,Fine gauge,5,1,895
General,Dresses,Dresses,5,1,1104
General,Jackets,Outerwear,3,1,1131
General Petite,Jackets,Jackets,5,1,984
General,Dresses,Dresses,5,1,1104
General,Tops,Blouses,5,1,831
General Petite,Jackets,Jackets,4,1,984
General,Dresses,Dresses,5,1,1104
General,Tops,Blouses,5,1,836
General Petite,Dresses,Dresses,3,0,1089
General Petite,Tops,Blouses,3,0,844
General,Tops,Blouses,4,1,836
General,Tops,Blouses,3,0,836
General,Tops,Blouses,5,1,836
General,Tops,Blouses,5,1,836
General Petite,Tops,Blouses,5,1,844
General Petite,Tops,Sweaters,5,1,936
General,Tops,Fine gauge,5,1,895
General,Tops,Blouses,5,1,836
General,Tops,Blouses,5,1,831
General Petite,Tops,Blouses,5,1,844
General,Tops,Fine gauge,5,1,895
General,Bottoms,Pants,5,1,1066
General Petite,Tops,Blouses,2,0,844
General,Tops,Blouses,5,1,836
General,Tops,Blouses,4,1,836
General,Tops,Fine gauge,5,1,907
General,Tops,Blouses,5,1,836
General Petite,Tops,Blouses,3,0,844
General,Dresses,Dresses,4,1,1103
General,Tops,Knits,5,1,866
General,Tops,Fine gauge,5,1,907
General Petite,Tops,Blouses,1,0,844
General,Tops,Fine gauge,5,1,895
General,Tops,Fine gauge,5,1,895
General Petite,Dresses,Dresses,5,1,1080
General,Tops,Blouses,5,1,831
General Petite,Tops,Blouses,5,1,844
General Petite,Tops,Blouses,4,1,844
General,Tops,Blouses,5,1,831
General,Tops,Blouses,5,1,836
General,Tops,Fine gauge,5,1,907
General Petite,Tops,Blouses,3,0,844
General,Tops,Fine gauge,5,1,895
General,Tops,Fine gauge,5,1,895
General,Tops,Fine gauge,5,1,907
General Petite,Tops,Blouses,5,1,844
General,Tops,Blouses,3,0,836
General Petite,Tops,Blouses,2,0,844
General Petite,Tops,Blouses,4,1,844
General Petite,Tops,Blouses,5,1,844
General Petite,Tops,Sweaters,2,0,936
General,Tops,Fine gauge,5,1,907
General Petite,Tops,Sweaters,5,1,936
General,Tops,Blouses,1,0,831
General,Tops,Fine gauge,5,1,907
General Petite,Tops,Knits,3,0,862
General,Tops,Blouses,3,1,836
General Petite,Tops,Sweaters,4,1,936
General Petite,Tops,Fine gauge,5,1,895
General,Tops,Blouses,3,0,836
Initmates,Intimate,Lounge,5,1,580
General Petite,Tops,Fine gauge,5,1,895
General,Tops,Knits,4,1,862
General,Tops,Knits,5,1,862
General Petite,Tops,Blouses,5,1,844
General,Tops,Blouses,2,0,836
General Petite,Tops,Fine gauge,5,1,895
General,Tops,Blouses,5,1,836
General Petite,Tops,Fine gauge,5,1,895
General Petite,Tops,Fine gauge,5,1,895
General Petite,Tops,Fine gauge,5,1,895
General,Tops,Blouses,5,1,836
General,Tops,Knits,4,1,859
General,Tops,Knits,3,0,862
General,Bottoms,Pants,5,1,1049
General,Tops,Knits,5,1,862
General Petite,Dresses,Dresses,5,1,1089
General Petite,Dresses,Dresses,4,1,1089
General,Dresses,Dresses,3,0,1104
General Petite,Intimate,Lounge,4,1,127
General,Dresses,Dresses,3,1,1104
General,Tops,Sweaters,5,1,936
General,Tops,Fine gauge,4,1,902
General,Bottoms,Skirts,2,0,995
General,Tops,Sweaters,5,1,936
General Petite,Intimate,Lounge,4,1,127
General,Dresses,Dresses,1,0,1104
General,Dresses,Dresses,4,1,1086
General,Tops,Sweaters,5,1,936
Initmates,Intimate,Intimates,3,1,746
General Petite,Dresses,Dresses,4,1,1081
General Petite,Intimate,Lounge,3,1,127
General,Tops,Sweaters,3,0,936
General Petite,Intimate,Lounge,3,0,127
General,Bottoms,Jeans,5,1,1035
General,Tops,Fine gauge,4,1,902
General,Bottoms,Skirts,5,1,995
General,Dresses,Dresses,5,1,1104
General Petite,Dresses,Dresses,5,1,1089
General,Dresses,Dresses,3,0,1086
General,Tops,Fine gauge,2,1,902
General,Tops,Fine gauge,5,1,902
General,Dresses,Dresses,5,1,1094
General,Dresses,Dresses,3,0,1086
General,Tops,Sweaters,5,1,936
General,Bottoms,Jeans,4,1,1036
General,Tops,Sweaters,5,1,936
General,Dresses,Dresses,5,1,1094
General,Dresses,Dresses,5,1,1094
General,Dresses,Dresses,5,1,1086
General Petite,Intimate,Lounge,5,1,127
General Petite,Intimate,Lounge,5,1,127
General,Dresses,Dresses,4,1,1083
General,Tops,Knits,5,1,872
General,Dresses,Dresses,2,0,1083
General,Tops,Blouses,5,1,831
General,Dresses,Dresses,3,1,1080
General,Dresses,Dresses,5,1,1077
General,Tops,Knits,4,1,872
General,Jackets,Jackets,5,1,964
General Petite,Dresses,Dresses,3,1,1089
General,Tops,Knits,4,1,872
General,Dresses,Dresses,5,1,1083
General,Tops,Blouses,4,1,829
General,Jackets,Jackets,5,1,964
General Petite,Dresses,Dresses,5,1,1089
General,Tops,Blouses,5,1,829
General,Tops,Blouses,5,1,829
General,Jackets,Jackets,5,1,967
General,Tops,Blouses,4,1,829
General,Tops,Blouses,4,1,829
General,Tops,Knits,4,1,872
General,Tops,Knits,4,1,872
Initmates,Intimate,Lounge,4,1,149
General,Jackets,Jackets,5,1,964
General,Bottoms,Jeans,5,1,1030
General,Jackets,Jackets,5,1,964
General,Dresses,Dresses,4,0,1083
General,Tops,Knits,4,1,872
General,Tops,Knits,5,1,872
General,Tops,Blouses,4,1,829
General,Tops,Knits,4,1,872
General,Jackets,Jackets,5,1,964
General Petite,Dresses,Dresses,3,1,1089
General,Tops,Knits,3,0,872
General,Tops,Knits,5,1,872
General,Tops,Knits,5,1,872
General,Dresses,Dresses,2,0,1077
General,Jackets,Jackets,4,1,967
General,Tops,Knits,5,1,872
General,Jackets,Jackets,5,1,964
General,Tops,Knits,5,1,872
Initmates,Intimate,Swim,5,1,234
Initmates,Intimate,Lounge,4,1,149
General,Tops,Blouses,4,1,829
General,Tops,Blouses,4,1,829
General,Tops,Knits,5,1,872
General,Tops,Knits,5,1,872
General Petite,Tops,Blouses,5,1,850
General Petite,Tops,Blouses,3,0,850
Initmates,Intimate,Intimates,4,1,724
General,Tops,Blouses,5,1,833
General,Tops,Knits,5,1,862
General Petite,Tops,Blouses,5,1,850
General,Dresses,Dresses,5,1,1078
General Petite,Tops,Blouses,5,1,850
General,Dresses,Dresses,5,1,1104
General,Dresses,Dresses,3,0,1078
General,Jackets,Jackets,4,1,984
General Petite,Tops,Blouses,5,1,850
Initmates,Intimate,Intimates,5,1,204
General,Dresses,Dresses,5,1,1078
General,Tops,Knits,2,0,862
General,Dresses,Dresses,5,1,1078
General,Jackets,Jackets,5,1,984
General,Bottoms,Skirts,4,1,1008
General Petite,Tops,Blouses,4,1,841
General,Dresses,Dresses,3,0,1104
General Petite,Tops,Blouses,5,1,850
General,Dresses,Dresses,5,1,1081
General,Tops,Blouses,4,1,833
General Petite,Tops,Blouses,4,1,850
General Petite,Tops,Knits,4,1,862
General,Dresses,Dresses,5,1,1078
General Petite,Tops,Blouses,5,1,850
General Petite,Tops,Blouses,5,1,850
General,Tops,Blouses,5,1,831
General,Tops,Blouses,5,1,833
General,Jackets,Jackets,4,1,984
General,Dresses,Dresses,4,1,1078
General,Dresses,Dresses,5,1,1104
General,Dresses,Dresses,5,1,1081
General,Tops,Blouses,4,1,833
General Petite,Tops,Blouses,5,1,850
General,Dresses,Dresses,5,1,1078
General Petite,Tops,Blouses,3,0,850
General,Dresses,Dresses,2,0,1078
General Petite,Tops,Blouses,3,1,850
General Petite,Tops,Blouses,4,1,850
General,Dresses,Dresses,5,1,1078
General Petite,Tops,Sweaters,2,1,948
General Petite,Tops,Blouses,5,1,850
General,Tops,Blouses,4,1,833
General,Dresses,Dresses,3,1,1078
General Petite,Tops,Blouses,5,1,850
General,Dresses,Dresses,4,1,1078
General,Dresses,Dresses,5,1,1078
General Petite,Tops,Blouses,5,1,850
General Petite,Tops,Sweaters,2,0,948
General,Dresses,Dresses,5,1,1078
General Petite,Tops,Blouses,3,1,850
General Petite,Dresses,Dresses,5,1,1081
General,Tops,Blouses,5,1,833
General Petite,Dresses,Dresses,5,1,1081
General Petite,Tops,Blouses,4,1,850
General Petite,Tops,Blouses,2,0,850
General Petite,Tops,Blouses,5,1,850
General,Jackets,Jackets,5,1,984
General Petite,Tops,Blouses,4,1,850
General,Dresses,Dresses,5,1,1104
General,Dresses,Dresses,1,0,1104
General,Dresses,Dresses,5,1,1104
General,Dresses,Dresses,5,1,1078
General Petite,Tops,Blouses,5,1,850
General Petite,Tops,Blouses,5,1,850
General,Jackets,Jackets,3,1,984
General,Dresses,Dresses,5,1,1078
General,Jackets,Jackets,5,1,984
General,Tops,Blouses,5,1,850
General,Tops,Blouses,3,1,833
General,Dresses,Dresses,3,1,1078
General,Tops,Blouses,5,1,850
General Petite,Dresses,Dresses,4,1,1081
General,Jackets,Jackets,5,1,984
General,Tops,Blouses,5,1,850
General,Tops,Blouses,4,1,850
General,Dresses,Dresses,5,1,1104
General,Dresses,Dresses,5,1,1078
General,Jackets,Jackets,5,1,984
General,Jackets,Jackets,5,1,984
General,Dresses,Dresses,4,1,1078
General,Dresses,Dresses,5,1,1104
General,Jackets,Jackets,5,1,984
General,Dresses,Dresses,5,1,1078
General,Jackets,Jackets,5,1,984
General,Tops,Blouses,3,0,833
General,Tops,Blouses,5,1,850
General,Dresses,Dresses,3,0,1078
General,Dresses,Dresses,2,1,1078
General,Jackets,Jackets,5,1,984
General,Tops,Blouses,4,1,850
General,Dresses,Dresses,5,1,1078
General,Jackets,Jackets,5,1,984
General,Tops,Blouses,4,1,831
General,Dresses,Dresses,4,1,1086
General Petite,Bottoms,Pants,5,1,1044
General,Tops,Blouses,4,1,820
General,Dresses,Dresses,5,1,1094
General,Dresses,Dresses,5,1,1094
General,Bottoms,Skirts,5,1,995
General,Dresses,Dresses,4,1,1094
General,Bottoms,Pants,5,1,1060
General,Tops,Blouses,1,0,833
General Petite,Bottoms,Jeans,4,1,1037
General,Tops,Knits,5,1,875
General,Tops,Knits,4,1,875
General,Tops,Blouses,5,1,820
General Petite,Bottoms,Jeans,4,1,1037
General,Tops,Blouses,4,1,820
General,Bottoms,Jeans,5,1,1037
General,Tops,Blouses,5,1,820
General,Tops,Blouses,1,0,833
General,Dresses,Dresses,5,1,1094
General,Tops,Blouses,5,1,833
General,Bottoms,Skirts,4,1,995
General,Dresses,Dresses,3,0,1094
General,Tops,Knits,2,0,875
General,Bottoms,Jeans,3,0,1037
General,Tops,Knits,2,0,875
General,Tops,Blouses,3,0,833
General,Bottoms,Pants,3,0,1060
General,Dresses,Dresses,4,1,1094
General,Tops,Blouses,5,1,835
General,Dresses,Dresses,4,1,1094
General,Dresses,Dresses,4,1,1094
General,Tops,Knits,2,0,875
General,Tops,Blouses,5,1,823
General,Tops,Blouses,5,1,835
General,Tops,Blouses,4,1,833
General,Tops,Blouses,5,1,833
General,Tops,Blouses,5,1,820
General,Tops,Blouses,5,1,835
General,Bottoms,Pants,5,1,1060
General,Bottoms,Jeans,3,1,1037
General,Tops,Blouses,4,1,820
General,Dresses,Dresses,3,0,1079
General,Bottoms,Pants,4,1,1060
General,Tops,Knits,5,1,875
General,Tops,Blouses,5,1,835
General Petite,Dresses,Dresses,5,1,1078
General,Bottoms,Jeans,1,0,1037
General,Tops,Blouses,5,1,820
General,Dresses,Dresses,5,1,1072
General,Dresses,Dresses,3,1,1094
General,Tops,Blouses,4,1,833
General,Bottoms,Jeans,4,1,1037
General,Dresses,Dresses,3,0,1094
General,Bottoms,Skirts,2,0,995
Initmates,Intimate,Swim,4,1,252
General Petite,Intimate,Lounge,4,1,634
General,Jackets,Jackets,5,1,985
General,Bottoms,Pants,5,1,1059
General,Jackets,Jackets,5,1,985
General,Bottoms,Pants,5,1,1059
General Petite,Intimate,Lounge,4,1,634
General,Bottoms,Pants,5,1,1059
Initmates,Intimate,Swim,4,1,252
General Petite,Intimate,Lounge,5,1,634
Initmates,Intimate,Swim,5,1,252
Initmates,Intimate,Legwear,3,1,117
Initmates,Intimate,Legwear,5,1,117
General Petite,Intimate,Lounge,4,1,634
Initmates,Intimate,Swim,5,1,252
Initmates,Intimate,Swim,5,1,252
General Petite,Intimate,Lounge,4,1,634
General,Bottoms,Pants,5,1,1059
General,Tops,Blouses,4,1,838
Initmates,Intimate,Swim,5,1,252
General,Tops,Blouses,5,1,838
General,Tops,Blouses,1,0,838
General Petite,Intimate,Lounge,5,1,634
General,Bottoms,Pants,3,0,1059
General Petite,Intimate,Lounge,4,1,634
General,Bottoms,Skirts,5,1,1008
General,Tops,Blouses,5,1,838
General,Bottoms,Shorts,4,1,620
General Petite,Intimate,Lounge,5,1,634
General,Bottoms,Pants,5,1,1059
General,Bottoms,Pants,4,1,1059
General,Bottoms,Pants,5,1,1059
General Petite,Intimate,Lounge,4,1,634
General,Bottoms,Pants,2,0,1059
General Petite,Intimate,Lounge,4,1,634
General,Bottoms,Pants,1,0,1059
General,Jackets,Jackets,4,1,985
Initmates,Intimate,Swim,5,1,252
General,Bottoms,Pants,5,1,1059
General,Bottoms,Pants,5,1,1059
Initmates,Intimate,Swim,5,1,252
General,Bottoms,Pants,5,1,1059
General,Bottoms,Pants,2,0,1059
Initmates,Intimate,Swim,5,1,252
General,Bottoms,Skirts,5,1,1008
General,Tops,Sweaters,5,1,943
General Petite,Intimate,Lounge,2,0,634
General,Bottoms,Skirts,5,1,1008
Initmates,Intimate,Swim,5,1,252
General,Tops,Blouses,5,1,838
General,Bottoms,Pants,5,1,1059
General,Bottoms,Pants,5,1,1059
General,Bottoms,Shorts,5,1,620
General,Bottoms,Pants,5,1,1059
Initmates,Intimate,Legwear,5,1,117
Initmates,Intimate,Swim,5,1,252
Initmates,Intimate,Swim,4,1,252
General Petite,Intimate,Lounge,4,1,634
General,Tops,Blouses,2,0,838
General,Bottoms,Skirts,3,0,1008
General,Bottoms,Pants,4,1,1059
General,Tops,Blouses,5,1,838
General Petite,Intimate,Lounge,5,1,634
General,Bottoms,Pants,5,1,1059
General,Bottoms,Pants,2,0,1059
General,Bottoms,Pants,3,0,1059
General,Bottoms,Pants,5,1,1059
General,Bottoms,Skirts,5,1,1008
Initmates,Intimate,Legwear,4,1,117
General,Tops,Knits,4,1,886
General,Dresses,Dresses,4,1,1087
General,Tops,Knits,5,1,873
General,Dresses,Dresses,5,1,1087
General,Tops,Knits,4,1,886
Initmates,Intimate,Legwear,5,1,745
General,Tops,Knits,5,1,886
General,Tops,Sweaters,3,0,937
General,Dresses,Dresses,5,1,1087
General,Tops,Sweaters,5,1,937
General,Tops,Sweaters,5,1,937
General,Bottoms,Pants,5,1,1059
General Petite,Dresses,Dresses,1,0,1110
General,Bottoms,Pants,5,1,1059
General Petite,Dresses,Dresses,4,1,1110
General,Tops,Knits,3,0,873
General,Tops,Knits,5,1,886
General,Dresses,Dresses,5,1,1087
General,Tops,Sweaters,5,1,937
General,Dresses,Dresses,2,0,1110
General,Tops,Knits,5,1,886
General,Tops,Sweaters,3,1,937
General,Tops,Knits,4,1,886
General,Trend,Trend,5,1,1137
Initmates,Intimate,Swim,3,0,1165
General,Tops,Sweaters,5,1,937
General,Dresses,Dresses,2,0,1110
General,Dresses,Dresses,5,1,1087
General,Bottoms,Pants,5,1,1059
General,Trend,Trend,5,1,1137
Initmates,Intimate,Legwear,5,1,745
General,Tops,Sweaters,4,1,937
General,Dresses,Dresses,4,1,1110
General,Dresses,Dresses,4,1,1110
General Petite,Tops,Knits,5,1,886
General,Tops,Sweaters,5,1,937
General Petite,Tops,Knits,5,1,886
General,Tops,Sweaters,5,1,937
General,Tops,Sweaters,5,1,937
General,Tops,Knits,5,1,873
General,Tops,Sweaters,5,1,937
General Petite,Tops,Knits,5,1,886
General,Tops,Knits,5,1,873
General Petite,Tops,Knits,5,1,886
Initmates,Intimate,Layering,5,1,245
General Petite,Tops,Knits,5,1,886
General Petite,Tops,Knits,4,1,886
General,Dresses,Dresses,4,1,1087
General,Tops,Sweaters,5,1,937
General,Dresses,Dresses,3,0,1087
General,Dresses,Dresses,5,1,1087
General Petite,Tops,Knits,4,1,886
General Petite,Dresses,Dresses,5,1,1110
General Petite,Tops,Knits,5,1,886
General Petite,Dresses,Dresses,4,1,1110
Initmates,Intimate,Swim,3,0,1165
